[2025-11-27 08:40:46] debug: 	z2m: Removing old log directory '/app/data/log/2025-11-25.09-49-35'
[2025-11-27 08:40:46] info: 	z2m: Logging to console, file (filename: log.log)
[2025-11-27 08:40:46] debug: 	z2m: Loaded state from file /app/data/state.json
[2025-11-27 08:40:46] info: 	z2m: Starting Zigbee2MQTT version 2.6.3 (commit #6e001b48ec278c6c141579c9eacc045f190fc289
)
[2025-11-27 08:40:46] info: 	z2m: Starting zigbee-herdsman (6.3.2)
[2025-11-27 08:40:46] debug: 	z2m: Using zigbee-herdsman with settings: '"{\"network\":{\"panID\":6754,\"extendedPanID\":[221,221,221,221,221,221,221,2],\"channelList\":[20],\"networkKey\":\"HIDDEN\"},\"databasePath\":\"/app/data/database.db\",\"databaseBackupPath\":\"/app/data/database.db.backup\",\"backupPath\":\"/app/data/coordinator_backup.json\",\"serialPort\":{\"path\":\"tcp://192.168.1.35:6638\",\"adapter\":\"ember\"},\"adapter\":{\"disableLED\":false,\"transmitPower\":20}}"'
[2025-11-27 08:40:47] info: 	zh:ember: Using default stack config.
[2025-11-27 08:40:47] debug: 	zh:controller: Starting with options '{"network":{"networkKeyDistribute":false,"networkKey":"HIDDEN","panID":6754,"extendedPanID":[221,221,221,221,221,221,221,2],"channelList":[20]},"serialPort":{"path":"tcp://192.168.1.35:6638","adapter":"ember"},"adapter":{"disableLED":false,"transmitPower":20},"databasePath":"/app/data/database.db","databaseBackupPath":"/app/data/database.db.backup","backupPath":"/app/data/coordinator_backup.json"}'
[2025-11-27 08:40:47] info: 	zh:ember: ======== Ember Adapter Starting ========
[2025-11-27 08:40:47] info: 	zh:ember:ezsp: ======== EZSP starting ========
[2025-11-27 08:40:47] info: 	zh:ember:uart:ash: ======== ASH Adapter reset ========
[2025-11-27 08:40:47] debug: 	zh:ember:uart:ash: Opening TCP socket with 192.168.1.35:6638
[2025-11-27 08:40:47] debug: 	zh:ember:uart:ash: Socket connected
[2025-11-27 08:40:47] info: 	zh:ember:uart:ash: Socket ready
[2025-11-27 08:40:47] info: 	zh:ember:uart:ash: ======== ASH starting ========
[2025-11-27 08:40:47] debug: 	zh:ember:uart:ash: ---> [FRAME type=RST]
[2025-11-27 08:40:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 0/5000
[2025-11-27 08:40:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 100/5000
[2025-11-27 08:40:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 200/5000
[2025-11-27 08:40:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 300/5000
[2025-11-27 08:40:47] debug: 	zh:ember:uart:ash: Waiting for RSTACK... 400/5000
