[2025-11-29 08:35:27] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=241 Len=26]
[2025-11-29 08:35:27] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=17686 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":184} messageTag=80
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=2 frmTx=2)
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=4](frmRx=4) Added to rxQueue
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=2)
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=2 frmTx=2)
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=2)
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=241 Len=20]
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=17686 sourceEui=0xbc8d7efffe12397a lastHopLqi=92 lastHopRssi=-88 relayCount=1 relayList=28658
[2025-11-29 08:35:28] debug: 	zh:controller:endpoint: ZCL command 0xbc8d7efffe21a327/1 haElectricalMeasurement.read(["rmsVoltage","rmsCurrent","activePower"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2025-11-29 08:35:28] debug: 	zh:ember: ~~~> [ZCL to=0xbc8d7efffe21a327:43140 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":80,"commandIdentifier":0}]
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=242 Len=31]
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=2 frmRx=5](ackRx=2)
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3](ackRx=2 frmTx=3)
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3 frmNum=5](frmRx=5) Added to rxQueue
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=3)
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=242 Len=10]
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=185 messageTag=81 status=OK]
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3](ackRx=3 frmTx=3)
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3 frmNum=6](frmRx=6) Added to rxQueue
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=7](ackRx=3)
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=242 Len=18]
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=43140 sourceEui=0xbc8d7efffe21a327 lastHopLqi=120 lastHopRssi=-81 relayCount=0 relayList=
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3](ackRx=3 frmTx=3)
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3 frmNum=7](frmRx=7) Added to rxQueue
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=3)
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=242 Len=26]
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=43140 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":185} messageTag=81
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3](ackRx=3 frmTx=3)
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=3 frmNum=0](frmRx=0) Added to rxQueue
[2025-11-29 08:35:28] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=3)
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=242 Len=58]
[2025-11-29 08:35:28] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":256,"groupId":0,"sequence":228} packetInfo:{"senderShortId":43140,"senderLongId":"0x0000000000000000","bindingIndex":255,"addressIndex":9,"lastHopLqi":120,"lastHopRssi":-81,"lastHopTimestamp":584770554} messageContents=18500105050021ec000805002100000b0500290000
